Label,Coordinate,R2 values
HEAD_ANT,X,0.9999619702250087
HEAD_ANT,Y,0.9783463375854649
HEAD_ANT,Z,0.5790269479113268
R_HEAD,X,0.9999351610812844
R_HEAD,Y,0.9775888590975399
R_HEAD,Z,0.5956086619632373
L_HEAD,X,0.9999589351512187
L_HEAD,Y,0.9771406388002764
L_HEAD,Z,0.5380057857302611
C7,X,0.9999134081872599
C7,Y,0.9714088416034904
C7,Z,0.5432379469260278
R_BACK,X,0.9997293183884383
R_BACK,Y,0.975318044372965
R_BACK,Z,0.5643491861184853
L_BACK,X,0.9997589111814174
L_BACK,Y,0.9838581642115988
L_BACK,Z,0.5417144888034107
STERNUM,X,0.9998249701927621
STERNUM,Y,0.9750897041154638
STERNUM,Z,0.5537565552781047
R_ACROMION,X,0.9991394191304922
R_ACROMION,Y,0.9768607870059941
R_ACROMION,Z,0.5633636315664259
R_HUM_PROX,X,0.9960937802969415
R_HUM_PROX,Y,0.9708070347657896
R_HUM_PROX,Z,0.5934762837328937
R_HUM_ANT,X,0.9949510342293785
R_HUM_ANT,Y,0.9742140697556998
R_HUM_ANT,Z,0.6429564610050522
R_HUM_POST,X,0.9942769288811583
R_HUM_POST,Y,0.9478536936894706
R_HUM_POST,Z,0.5732221922330207
R_ELBOW_LAT,X,0.9923423647373493
R_ELBOW_LAT,Y,0.93486752702911
R_ELBOW_LAT,Z,0.5874150772955921
R_ELBOW_MED,X,0.9959090883493367
R_ELBOW_MED,Y,0.9265519582283186
R_ELBOW_MED,Z,0.5445929175536738
R_FOREARM,X,0.9858555234010175
R_FOREARM,Y,0.9748565316171615
R_FOREARM,Z,0.7550179294332109
R_WIRST_LAT,X,0.985776875705264
R_WIRST_LAT,Y,0.9700132837335487
R_WIRST_LAT,Z,0.806199513442439
R_WRITS_MED,X,0.9814798237436936
R_WRITS_MED,Y,0.9606391848724676
R_WRITS_MED,Z,0.7279041198914185
R_HAND,X,0.976945202297828
R_HAND,Y,0.9701264010326123
R_HAND,Z,0.8169015289660114
L_ACROMION,X,0.9996105126064048
L_ACROMION,Y,0.97461093244628
L_ACROMION,Z,0.5556276313144539
L_HUM_PROX,X,0.9971789137090002
L_HUM_PROX,Y,0.9860067866743344
L_HUM_PROX,Z,0.5676595078847431
L_HUM_ANT,X,0.996409868886471
L_HUM_ANT,Y,0.9724219028837565
L_HUM_ANT,Z,0.545354477552688
L_HUM_POST,X,0.99543839284512
L_HUM_POST,Y,0.9835182721098771
L_HUM_POST,Z,0.6107965170934448
L_ELBOW_LAT,X,0.9937895661528924
L_ELBOW_LAT,Y,0.9781580424275125
L_ELBOW_LAT,Z,0.5795746004791513
L_ELBOW_MED,X,0.995352366287512
L_ELBOW_MED,Y,0.9804479878548106
L_ELBOW_MED,Z,0.613827732449023
L_FOREARM,X,0.9863800508136797
L_FOREARM,Y,0.9703839066163747
L_FOREARM,Z,0.6979877572966258
L_WRIST_LAT,X,0.986133758777603
L_WRIST_LAT,Y,0.9744939453242709
L_WRIST_LAT,Z,0.8020819261601492
L_WIRST_MED,X,0.9809528343726865
L_WIRST_MED,Y,0.9732985557976932
L_WIRST_MED,Z,0.6585205012833024
L_HAND,X,0.9775235890526216
L_HAND,Y,0.9705472097866283
L_HAND,Z,0.8205050781016443
R_ILIAC,X,0.9993125266773492
R_ILIAC,Y,0.9810386197445042
R_ILIAC,Z,0.5975427395680726
SACRUM,X,0.9995569582642165
