Speed,Measure,point 0,point 1,point 2,point 3,point 4
$0.363 < v* < 0.500$ Ch$_{2}$,-1sd,7,23,39,62,83
$0.363 < v* < 0.500$ Ch$_{2}$,mean,6,22,40,62,84
$0.363 < v* < 0.500$ Ch$_{2}$,+1sd,6,22,41,62,86
$v/h<0.6$ Ch$_{2}$,-1sd,7,21,42,63,82
$v/h<0.6$ Ch$_{2}$,mean,7,20,43,64,81
$v/h<0.6$ Ch$_{2}$,+1sd,7,20,44,64,80
$0.6 < v/h < 0.8$ Ch$_{2}$,-1sd,6,22,41,62,83
$0.6 < v/h < 0.8$ Ch$_{2}$,mean,6,19,41,63,82
$0.6 < v/h < 0.8$ Ch$_{2}$,+1sd,6,19,41,63,82
$0.8 < v/h < 1$ Ch$_{2}$,-1sd,6,23,39,62,84
$0.8 < v/h < 1$ Ch$_{2}$,mean,6,23,40,62,85
$0.8 < v/h < 1$ Ch$_{2}$,+1sd,6,22,41,63,86
$v/h > 1.0$ Ch$_{2}$,-1sd,6,21,36,60,84
$v/h > 1.0$ Ch$_{2}$,mean,6,22,37,60,86
$v/h > 1.0$ Ch$_{2}$,+1sd,6,24,39,60,87
$0.363 < v* < 0.500$ A,-1sd,12,25,38,65,87
$0.363 < v* < 0.500$ A,mean,22,39,52,65,86
$0.363 < v* < 0.500$ A,+1sd,12,25,40,66,84
$v/h < 0.6$ A,-1sd,13,27,41,68,86
$v/h < 0.6$ A,mean,13,27,41,69,86
$v/h < 0.6$ A,+1sd,13,28,42,70,86
$0.6 < v/h < 0.8$ A,-1sd,8,24,40,64,85
$0.6 < v/h < 0.8$ A,mean,7,23,41,64,84
$0.6 < v/h < 0.8$ A,+1sd,7,21,42,64,82
$0.8 < v/h < 1$ A,-1sd,8,24,37,62,85
$0.8 < v/h < 1$ A,mean,8,25,38,63,84
$0.8 < v/h < 1$ A,+1sd,8,27,40,63,84
$v/h > 1.0$ A,-1sd,14,28,42,58,82
$v/h > 1.0$ A,mean,13,27,41,59,81
$v/h > 1.0$ A,+1sd,6,26,40,59,80
$v* < 0.227$ Ch$_{1}$,-1sd,15,29,43,64,78
$v* < 0.227$ Ch$_{1}$,mean,15,29,44,63,80
$v* < 0.227$ Ch$_{1}$,+1sd,15,29,47,68,83
$0.227 < v* < 0.363$ Ch$_{1}$,-1sd,6,23,45,65,83
$0.227 < v* < 0.363$ Ch$_{1}$,mean,6,21,46,66,82
$0.227 < v* < 0.363$ Ch$_{1}$,+1sd,6,21,47,66,82
$0.363 < v* < 0.500$ Ch$_{1}$,-1sd,6,23,41,64,85
$0.363 < v* < 0.500$ Ch$_{1}$,mean,6,25,42,64,84
$0.363 < v* < 0.500$ Ch$_{1}$,+1sd,6,27,44,65,84
$0.500 < v* < 0.636$ Ch$_{1}$,-1sd,6,24,37,62,84
$0.500 < v* < 0.636$ Ch$_{1}$,mean,6,26,39,62,84
$0.500 < v* < 0.636$ Ch$_{1}$,+1sd,6,28,41,63,84
$v* > 0.636$ Ch$_{1}$,-1sd,6,26,41,60,84
$v* > 0.636$ Ch$_{1}$,mean,6,29,44,60,83
$v* > 0.636$ Ch$_{1}$,+1sd,6,30,45,61,83
