Speed,Measure,point 0,point 1,point 2,point 3,point 4,point 5
Free Y,-1sd,0,21,80,120,189,262
Free Y,mean,0,21,80,122,190,261
Free Y,+1sd,0,21,83,124,191,261
Very Slow Y,-1sd,0,17,73,131,193,258
Very Slow Y,mean,0,17,73,133,194,264
Very Slow Y,+1sd,0,17,70,137,195,275
Slow Y,-1sd,0,16,71,129,190,267
Slow Y,mean,0,15,71,129,190,254
Slow Y,+1sd,0,14,71,128,190,265
Medium Y,-1sd,0,24,77,117,189,264
Medium Y,mean,0,23,80,120,191,264
Medium Y,+1sd,0,23,82,124,192,255
Fast Y,-1sd,0,15,73,113,182,265
Fast Y,mean,0,14,76,118,182,264
Fast Y,+1sd,0,13,82,123,183,257
Toe Y,-1sd,0,40,97,137,183,226
Toe Y,mean,0,43,95,135,184,226
Toe Y,+1sd,0,45,94,134,185,226
Heel Y,-1sd,0,39,79,128,205,265
Heel Y,mean,0,35,82,128,205,254
Heel Y,+1sd,0,30,78,118,159,205
Ascending Y,-1sd,0,50,121,163,206,265
Ascending Y,mean,0,12,54,125,166,207
Ascending Y,+1sd,0,12,64,131,208,279
Descending Y,-1sd,0,65,106,146,213,254
Descending Y,mean,0,41,81,139,214,254
Descending Y,+1sd,0,49,90,131,200,240
Free A,-1sd,0,14,78,126,190,265
Free A,mean,0,15,81,129,192,266
Free A,+1sd,0,16,84,132,193,262
Very Slow A,-1sd,0,13,55,95,135,201
Very Slow A,mean,0,14,62,137,200,283
Very Slow A,+1sd,0,16,84,139,200,277
Slow A,-1sd,0,15,76,127,192,266
Slow A,mean,0,16,82,129,192,258
Slow A,+1sd,0,16,82,132,193,260
Medium A,-1sd,0,21,74,114,190,231
Medium A,mean,0,21,77,117,191,231
Medium A,+1sd,0,21,83,123,192,232
Fast A,-1sd,0,22,87,133,178,222
Fast A,mean,0,21,85,130,180,225
Fast A,+1sd,0,21,83,127,182,226
Toe A,-1sd,0,40,98,140,184,270
Toe A,mean,0,42,100,142,184,263
Toe A,+1sd,0,44,103,184,226,274
Heel A,-1sd,0,36,77,120,162,204
Heel A,mean,0,34,74,133,200,240
Heel A,+1sd,0,32,77,140,197,237
Ascending A,-1sd,0,52,94,134,210,251
Ascending A,mean,0,51,103,143,214,254
Ascending A,+1sd,0,49,119,159,218,279
Descending A,-1sd,0,39,79,139,206,273
Descending A,mean,0,39,79,147,214,281
Descending A,+1sd,0,41,82,158,235,287
