Subject,failed
1,"[17,21]"
2,"[]"
3,"[]"
4,"[]"
5,"[]"
6,"[12,14,15]"
7,"[]"
8,"[1,2]"
9,"[]"
10,"[]"
11,"[]"
12,"[]"
13,"[1,2,3,4,5,7]"
14,"[]"
15,"[]"
16,"[]"
17,"[7,9,10,11,12,14,15,17,19,22]"
18,"[1,2,3,4,5]"
19,"[]"
20,"[]"
21,"[]"
22,"[0,16,24]"
23,"[]"
24,"[6]"
25,"[1]"
26,"[]"
27,"[]"
28,"[4]"
29,"[]"
30,"[]"
31,"[]"
32,"[]"
33,"[5]"
34,"[8]"
35,"[]"
36,"[]"
37,"[]"
38,"[5]"
39,"[1,4]"
40,"[]"
41,"[9,12,13]"
42,"[5]"
43,"[14]"
44,"[]"
45,"[]"
46,"[]"
47,"[3]"
48,"[]"
49,"[8]"
50,"[0,5,9,11,12]"
