Speed,instance,QS phase,intercept,stiffness,MSE,R2,inverted
Subject1,0.840698,CP,-0.036,0.171,0.0,0.809,False
Subject1,0.840698,ERP,0.102,1.192,0.0,0.986,False
Subject1,0.840698,LRP,-0.209,4.961,0.001,0.991,False
Subject1,0.840698,DP,0.58,2.284,0.001,0.993,False
Subject1,0.858036,CP,-0.034,0.242,0.0,0.893,False
Subject1,0.858036,ERP,0.148,2.144,0.003,0.896,False
Subject1,0.858036,LRP,-0.578,9.212,0.001,0.98,False
Subject1,0.858036,DP,0.751,2.9,0.002,0.99,False
Subject1,0.870168,CP,-0.035,0.233,0.0,0.817,False
Subject1,0.870168,ERP,0.117,2.195,0.003,0.893,False
Subject1,0.870168,LRP,-0.468,7.645,0.0,0.994,False
Subject1,0.870168,DP,0.668,2.894,0.002,0.992,False
Subject1,0.872368,CP,-0.039,0.106,0.0,0.63,False
Subject1,0.872368,ERP,0.081,1.337,0.0,0.982,False
Subject1,0.872368,LRP,-0.314,5.302,0.003,0.973,False
Subject1,0.872368,DP,0.555,2.834,0.003,0.989,False
Subject1,0.8777209999999999,CP,-0.04,0.149,0.0,0.74,False
Subject1,0.8777209999999999,ERP,0.108,1.45,0.0,0.943,False
Subject1,0.8777209999999999,LRP,0.09,3.955,0.001,0.993,False
Subject1,0.8777209999999999,DP,0.574,2.146,0.003,0.98,False
Subject1,0.8779680000000001,CP,0.001,-0.002,0.0,0.004,True
Subject1,0.8779680000000001,ERP,0.084,1.622,0.002,0.884,False
Subject1,0.8779680000000001,LRP,-0.85,8.687,0.002,0.978,False
Subject1,0.8779680000000001,DP,0.727,2.584,0.001,0.993,False
Subject1,0.886619,CP,0.0,0.0,0.0,,True
Subject1,0.886619,ERP,0.053,1.413,0.002,0.744,False
Subject1,0.886619,LRP,-0.141,4.778,0.002,0.979,False
Subject1,0.886619,DP,0.528,2.655,0.005,0.977,False
Subject1,0.911007,CP,0.0,0.0,0.0,,True
Subject1,0.911007,ERP,0.006,1.213,0.001,0.93,False
Subject1,0.911007,LRP,-1.454,9.819,0.005,0.948,False
Subject1,0.911007,DP,0.605,2.748,0.001,0.996,False
Subject1,0.919435,CP,0.001,-0.002,0.0,0.004,True
Subject1,0.919435,ERP,0.056,1.834,0.002,0.914,False
Subject1,0.919435,LRP,-1.075,9.068,0.002,0.971,False
Subject1,0.919435,DP,0.455,3.136,0.002,0.987,False
Subject1,0.9371280000000001,CP,-0.035,0.109,0.0,0.611,False
Subject1,0.9371280000000001,ERP,0.146,2.113,0.001,0.969,False
Subject1,0.9371280000000001,LRP,-0.191,4.856,0.001,0.989,False
Subject1,0.9371280000000001,DP,0.548,2.54,0.001,0.992,False
Subject1,1.152118,CP,-0.051,0.209,0.0,0.751,False
Subject1,1.152118,ERP,0.094,1.702,0.001,0.912,False
Subject1,1.152118,LRP,-0.479,7.451,0.0,0.997,False
Subject1,1.152118,DP,0.75,2.734,0.002,0.991,False
Subject1,1.155413,CP,-0.064,0.397,0.0,0.886,False
Subject1,1.155413,ERP,0.083,1.628,0.0,0.977,False
Subject1,1.155413,LRP,-0.199,6.283,0.006,0.952,False
Subject1,1.155413,DP,0.805,2.63,0.002,0.99,False
Subject1,1.195278,CP,0.001,-0.013,0.0,0.041,True
Subject1,1.195278,ERP,-0.008,0.667,0.001,0.336,True
Subject1,1.195278,LRP,-0.117,5.018,0.011,0.931,False
Subject1,1.195278,DP,0.727,2.736,0.001,0.992,False
Subject1,1.215271,CP,-0.073,0.194,0.0,0.709,False
Subject1,1.215271,ERP,0.125,1.939,0.003,0.877,False
Subject1,1.215271,LRP,-0.225,7.141,0.0,0.994,False
Subject1,1.215271,DP,0.815,2.812,0.002,0.991,False
Subject1,1.2189379999999999,CP,-0.059,0.206,0.0,0.571,False
Subject1,1.2189379999999999,ERP,0.148,2.111,0.001,0.863,False
Subject1,1.2189379999999999,LRP,0.052,6.258,0.003,0.963,False
Subject1,1.2189379999999999,DP,0.926,2.645,0.002,0.99,False
Subject1,1.21899,CP,-0.06,0.098,0.0,0.573,False
Subject1,1.21899,ERP,0.16,2.121,0.003,0.85,False
Subject1,1.21899,LRP,-0.044,7.002,0.0,0.999,False
Subject1,1.21899,DP,0.923,2.43,0.002,0.988,False
Subject1,1.22262,CP,0.002,-0.026,0.0,0.053,True
Subject1,1.22262,ERP,-0.036,0.442,0.001,0.225,True
Subject1,1.22262,LRP,0.126,5.466,0.002,0.985,False
Subject1,1.22262,DP,0.889,2.567,0.003,0.984,False
Subject1,1.229933,CP,0.012,0.978,0.001,0.408,True
Subject1,1.229933,ERP,0.046,5.32,0.008,0.942,False
Subject1,1.229933,LRP,0.931,2.481,0.004,0.98,False
Subject1,1.229933,DP,-0.023,-0.22,0.0,0.679,False
Subject1,1.240167,CP,-0.047,0.004,0.0,0.002,False
Subject1,1.240167,ERP,0.106,1.315,0.001,0.909,False
Subject1,1.240167,LRP,-0.459,6.963,0.0,0.995,False
Subject1,1.240167,DP,0.769,2.613,0.003,0.988,False
Subject1,1.267675,CP,-0.043,0.02,0.0,0.022,False
Subject1,1.267675,ERP,0.089,1.502,0.001,0.913,False
Subject1,1.267675,LRP,-0.491,7.571,0.002,0.982,False
Subject1,1.267675,DP,0.848,2.641,0.003,0.987,False
Subject1,1.690375,CP,-0.081,0.071,0.0,0.304,False
