subject,speed,point 0,point 1,point 2,point 3,point 4,point 5
Subject42,0.8432430000000001,0,9,70,122,190,245
Subject42,0.8904059999999999,0,13,86,118,188,240
Subject42,0.9328989999999999,0,18,86,124,187,251
Subject42,0.941185,0,16,86,125,183,280
Subject42,1.2035850000000001,0,16,60,118,189,271
Subject42,1.270756,0,20,124,188,239,270
Subject42,1.284592,0,14,66,107,180,269
Subject42,1.298604,0,16,70,130,189,271
Subject42,1.309221,0,13,66,115,178,253
Subject42,1.325858,0,15,66,100,180,262
Subject42,1.3444180000000001,0,4,75,113,191,268
Subject42,1.345768,0,5,87,118,185,266
Subject42,1.361919,0,17,60,109,181,260
Subject42,1.483067,0,4,69,124,180,258
Subject42,1.509973,0,12,73,111,182,269
Subject42,1.510866,0,15,73,115,173,262
Subject42,1.53084,0,12,58,108,168,261
Subject42,1.558773,0,17,69,121,178,253
