subject,speed,point 0,point 1,point 2,point 3,point 4,point 5
Subject1,0.840698,0,19,92,147,206,260
Subject1,0.858036,0,21,97,140,195,279
Subject1,0.870168,0,21,103,146,202,252
Subject1,0.872368,0,17,66,137,201,254
Subject1,0.8777209999999999,0,18,64,145,207,262
Subject1,0.8779680000000001,0,2,99,149,202,255
Subject1,0.886619,0,1,63,139,201,262
Subject1,0.911007,0,1,102,146,194,244
Subject1,0.919435,0,2,105,149,198,248
Subject1,0.937128,0,16,83,138,200,261
Subject1,1.152118,0,18,89,133,193,260
Subject1,1.155413,0,21,66,134,188,275
Subject1,1.195278,0,3,46,135,192,257
Subject1,1.215271,0,17,76,128,188,256
Subject1,1.218938,0,22,66,127,188,259
Subject1,1.21899,0,15,69,123,191,260
Subject1,1.22262,0,3,46,122,186,254
Subject1,1.229933,0,42,118,186,230,274
Subject1,1.240167,0,18,79,127,190,260
Subject1,1.267675,0,18,61,123,188,259
Subject1,1.690375,0,18,61,114,177,255
Subject1,1.761722,0,1,52,108,175,255
Subject1,1.77063,0,18,63,114,175,257
Subject1,1.773877,0,20,63,111,176,259
Subject1,1.7820740000000002,0,1,53,119,178,258
Subject2,0.839838,0,10,59,126,201,251
Subject2,0.847615,0,14,68,130,200,254
Subject2,0.908708,0,14,94,144,193,242
Subject2,0.936204,0,14,65,135,196,252
Subject2,0.986101,0,13,84,136,190,244
Subject2,1.005425,0,15,84,133,196,248
Subject2,1.005736,0,14,79,129,190,246
Subject2,1.022884,0,13,66,122,195,257
Subject2,1.064725,0,14,87,136,187,242
Subject2,1.100431,0,15,65,128,183,241
Subject2,1.133327,0,13,65,125,188,248
Subject2,1.147882,0,11,62,125,188,247
Subject2,1.3407950000000002,0,13,65,115,181,261
Subject2,1.400374,0,14,65,128,181,242
Subject2,1.400961,0,13,65,117,177,243
Subject2,1.432323,0,14,68,119,183,251
Subject2,1.454782,0,13,62,124,182,241
Subject2,1.460423,0,13,64,116,176,276
Subject2,1.460947,0,14,71,127,176,229
Subject2,1.471659,0,12,65,123,180,239
Subject2,1.476602,0,14,65,116,179,242
Subject2,1.525299,0,11,62,123,177,234
Subject2,1.679415,0,12,64,115,170,233
Subject2,1.735787,0,11,65,126,175,232
Subject2,1.801098,0,12,65,122,174,236
Subject2,1.806733,0,12,68,117,175,247
Subject2,1.827589,0,12,68,121,176,267
Subject2,1.852475,0,10,65,125,174,230
Subject2,1.891469,0,11,65,123,172,237
Subject2,2.038672,0,11,62,111,170,245
Subject2,2.03926,0,10,65,123,172,230
Subject3,0.975005,0,27,63,144,207,275
Subject3,1.091213,0,23,96,132,199,281
Subject3,1.214665,0,26,89,145,205,278
Subject3,1.262133,0,26,92,129,204,279
Subject3,1.326291,0,31,89,140,205,275
Subject3,1.419302,0,30,105,144,204,270
Subject3,1.48694,0,33,87,145,206,273
Subject4,0.886965,0,21,78,144,207,263
Subject4,0.909777,0,16,114,145,204,260
Subject4,0.937383,0,13,80,136,194,245
Subject4,0.943848,0,17,68,139,198,251
Subject4,0.987518,0,14,78,139,198,248
Subject4,1.007758,0,15,87,141,199,246
Subject4,1.019715,0,15,100,134,195,246
Subject4,1.020355,0,18,120,151,202,266
Subject4,1.021772,0,15,74,140,198,263
Subject4,1.032633,0,9,87,140,193,245
Subject4,1.047597,0,18,68,135,196,249
Subject4,1.048813,0,9,127,188,237,276
Subject4,1.052884,0,9,87,138,193,260
Subject4,1.06237,0,33,71,136,194,244
Subject4,1.067982,0,9,68,132,193,243
Subject4,1.0683200000000002,0,46,84,130,189,241
Subject4,1.141066,0,13,58,135,193,264
Subject4,1.290887,0,18,94,136,197,250
Subject4,1.332771,0,22,100,134,193,259
Subject4,1.403746,0,36,100,148,205,267
Subject4,1.468461,0,31,100,141,207,273
Subject4,1.498009,0,39,100,143,203,264
Subject4,1.525374,0,38,100,147,212,276
Subject4,1.54301,0,34,97,138,203,274
Subject4,1.550904,0,24,55,104,147,210
Subject5,0.844706,0,18,64,145,205,253
Subject5,0.853693,0,16,88,138,203,276
Subject5,0.859974,0,12,80,144,194,247
Subject5,0.8656729999999999,0,10,99,141,197,253
Subject5,0.865984,0,13,61,142,202,255
Subject5,0.870985,0,13,80,143,199,277
Subject5,0.953508,0,16,86,137,201,273
Subject5,0.964317,0,15,99,143,192,271
Subject5,0.970427,0,14,67,135,190,251
Subject5,0.980148,0,21,70,138,201,251
Subject5,1.230732,0,19,74,139,197,270
Subject5,1.338256,0,16,82,139,196,276
Subject5,1.365789,0,17,74,140,195,280
Subject5,1.38535,0,19,78,139,196,252
Subject5,1.872529,0,14,91,131,182,278
Subject5,1.982102,0,15,86,119,179,241
Subject5,2.002783,0,15,82,132,184,270
Subject5,2.095746,0,10,78,132,178,279
Subject6,0.777065,0,16,71,144,196,252
Subject6,0.905852,0,13,55,129,188,245
Subject6,0.95424,0,17,84,145,194,244
Subject6,1.27862,0,17,84,137,183,241
Subject6,1.298172,0,16,81,132,182,245
Subject6,1.314543,0,18,81,136,187,239
Subject6,1.3194780000000002,0,13,68,138,184,238
Subject6,1.33194,0,14,75,118,183,242
Subject6,1.340141,0,10,68,120,184,249
Subject6,1.341376,0,38,74,122,181,244
Subject6,1.349414,0,38,69,124,182,243
Subject6,1.447233,0,16,82,116,184,243
Subject6,1.4705979999999998,0,14,46,80,127,182
Subject6,1.944146,0,14,77,123,174,244
Subject6,1.995456,0,14,70,101,173,238
Subject6,2.065132,0,13,71,123,176,239
Subject6,2.066991,0,18,73,104,178,247
Subject6,2.077589,0,15,73,129,177,238
Subject6,2.115945,0,16,69,108,176,249
Subject6,2.117986,0,14,69,123,178,238
Subject6,2.149475,0,14,70,114,171,245
Subject7,0.8149390000000001,0,17,55,100,193,251
Subject7,0.8269190000000001,0,16,71,129,198,263
Subject7,0.8591049999999999,0,13,71,109,191,244
Subject7,0.8784200000000001,0,28,103,140,201,252
