,,AgeGroup,Age,Height,Mass,Gender,Dominance,LegLength,BorgScale,speed,mode,point 0,point 1,point 2,point 3,point 4,point 5,work abs,work prod,direction,CP,ERP,LRP,DP
S01,OC,Young,25,172.5,74.3,M,R,0.89,10.0,C,Overground,0.0,5.5,22.5,41.0,64.5,84.5,0.061,0.185,ccw,2.17,2.622,12.808,3.852
S01,OF,Young,25,172.5,74.3,M,R,0.89,10.0,F,Overground,0.0,6.0,22.0,38.5,62.0,85.5,0.008,0.343,ccw,2.72,3.194,-0.044,3.683
S01,OS,Young,25,172.5,74.3,M,R,0.89,10.0,S,Overground,0.0,5.5,25.5,46.0,65.5,82.5,0.089,0.104,ccw,1.535,2.881,10.307,3.896
S01,T01,Young,25,172.5,74.3,M,R,0.89,10.0,VS,Treadmill,0.0,3.5,31.5,52.0,67.0,82.5,0.116,0.044,cw,-0.061,3.092,6.679,5.93
S01,T02,Young,25,172.5,74.3,M,R,0.89,10.0,VS,Treadmill,0.0,4.5,32.0,49.5,65.5,82.0,0.16,0.016,cw,-0.056,3.48,7.942,5.176
S01,T03,Young,25,172.5,74.3,M,R,0.89,10.0,S,Treadmill,0.0,5.0,27.5,47.5,65.0,81.5,0.165,0.048,ccw,-0.09,3.298,9.639,4.588
S01,T04,Young,25,172.5,74.3,M,R,0.89,10.0,S,Treadmill,0.0,5.5,29.0,47.5,65.0,83.5,0.148,0.071,ccw,0.063,3.199,10.914,4.88
S01,T05,Young,25,172.5,74.3,M,R,0.89,10.0,C,Treadmill,0.0,6.0,28.0,41.0,64.0,83.5,0.087,0.164,ccw,0.111,4.167,15.186,5.277
S01,T06,Young,25,172.5,74.3,M,R,0.89,10.0,F,Treadmill,0.0,6.0,27.5,40.5,63.0,84.0,0.077,0.198,ccw,0.352,3.316,0.032,5.309
S01,T07,Young,25,172.5,74.3,M,R,0.89,10.0,F,Treadmill,0.0,6.0,29.0,42.5,62.5,84.5,0.045,0.287,ccw,0.514,3.602,-0.008,5.31
S01,T08,Young,25,172.5,74.3,M,R,0.89,10.0,VF,Treadmill,0.0,6.0,24.0,39.0,62.0,85.5,0.036,0.353,ccw,0.601,2.994,-0.04,4.76
S02,OC,Young,22,166.8,52.9,F,R,0.865,13.0,C,Overground,0.0,7.0,24.0,41.0,65.0,86.5,0.08,0.219,ccw,1.336,2.179,9.591,2.927
S02,OF,Young,22,166.8,52.9,F,R,0.865,13.0,F,Overground,0.0,7.5,25.5,38.5,62.0,84.5,0.069,0.316,ccw,1.565,2.913,12.203,2.994
S02,OS,Young,22,166.8,52.9,F,R,0.865,13.0,S,Overground,0.0,7.0,33.0,48.0,69.0,87.0,0.123,0.062,ccw,0.979,2.704,8.834,2.557
S02,T01,Young,22,166.8,52.9,F,R,0.865,13.0,VS,Treadmill,0.0,4.0,22.5,57.0,74.5,89.0,0.084,0.136,cw,-0.232,6.756,3.062,2.122
S02,T02,Young,22,166.8,52.9,F,R,0.865,13.0,VS,Treadmill,0.0,5.5,34.5,51.5,71.0,88.0,0.16,0.018,cw,-0.301,4.621,7.223,2.895
