,,Work Absorbed,Work produced,Work Total
S01,T01,0.1288,-0.0446,0.1734
S02,T01,-0.017,-0.1381,0.15510000000000002
S03,T01,0.0471,-0.1452,0.1923
S04,T01,0.3278,-0.0664,0.3942
S05,T01,0.2237,-0.0405,0.2642
S06,T01,0.0775,-0.0778,0.1553
S07,T01,0.0471,-0.1452,0.1923
S08,T01,0.1125,-0.0766,0.1891
S09,T01,0.1694,-0.0801,0.2495
S10,T01,0.1522,-0.0771,0.2293
S11,T01,0.3324,0.0113,0.34369999999999995
S12,T01,0.0533,-0.1096,0.1629
S13,T01,-0.0097,-0.1389,0.1486
S14,T01,0.0301,-0.1118,0.1419
S15,T01,0.1886,-0.1118,0.3004
S16,T01,0.0273,-0.1083,0.1356
S17,T01,0.0778,-0.0173,0.09509999999999999
S18,T01,0.0334,-0.1468,0.18020000000000003
S19,T01,0.2074,-0.0308,0.2382
S20,T01,0.0652,-0.0789,0.1441
S21,T01,0.1071,0.0274,0.1345
S22,T01,0.133,-0.0484,0.1814
S23,T01,0.1419,-0.0447,0.1866
S24,T01,0.1348,-0.0274,0.1622
S25,T01,0.0895,-0.1037,0.19319999999999998
S26,T01,0.132,-0.0313,0.1633
S27,T01,0.1293,-0.0566,0.1859
S28,T01,0.0705,-0.0695,0.14
S29,T01,0.1,-0.1319,0.2319
S30,T01,0.0945,-0.1647,0.2592
S31,T01,0.2162,-0.0633,0.27949999999999997
S32,T01,0.1987,-0.0366,0.23529999999999998
S33,T01,0.266,-0.0158,0.2818
S34,T01,0.0857,0.0024,0.0881
S35,T01,0.1675,-0.0747,0.24220000000000003
S36,T01,0.0883,-0.0875,0.1758
S37,T01,0.2962,0.0058,0.30200000000000005
S38,T01,0.1238,-0.0344,0.1582
S39,T01,0.117,-0.0866,0.2036
S40,T01,0.0991,-0.0186,0.1177
S41,T01,0.0612,-0.029,0.0902
S42,T01,-0.0254,-0.0242,0.0496
S01,T02,0.1503,-0.0169,0.1672
S02,T02,0.0066,-0.0203,0.0269
S03,T02,0.1446,-0.0832,0.2278
S04,T02,0.3473,-0.0336,0.3809
S05,T02,0.2375,-0.0098,0.2473
S06,T02,0.0998,-0.0398,0.1396
S07,T02,0.1446,-0.0832,0.2278
S08,T02,0.15,-0.0638,0.2138
S09,T02,0.2034,-0.0069,0.2103
S10,T02,0.1683,-0.0052,0.17350000000000002
S11,T02,0.3359,0.0844,0.4203
S12,T02,0.0912,-0.0736,0.1648
S13,T02,0.0911,-0.0926,0.1837
S14,T02,0.0931,-0.0805,0.1736
S15,T02,0.2048,-0.0661,0.27090000000000003
S16,T02,0.0413,-0.0897,0.131
S17,T02,0.0749,-0.0003,0.07519999999999999
S18,T02,0.0959,-0.0907,0.1866
S19,T02,0.2547,0.0145,0.2692
S20,T02,0.0932,-0.0521,0.1453
S21,T02,0.132,0.0618,0.1938
S22,T02,0.1841,-0.0252,0.2093
S23,T02,0.2125,0.002,0.2145
S24,T02,0.1581,-0.022,0.18009999999999998
S25,T02,0.0819,-0.0977,0.17959999999999998
S26,T02,0.1355,-0.0279,0.16340000000000002
S27,T02,0.1384,-0.0399,0.1783
S28,T02,0.0705,-0.0696,0.1401
S29,T02,0.138,-0.1432,0.2812
S30,T02,0.1326,-0.1509,0.2835
S31,T02,0.2572,0.0029,0.2601
S32,T02,0.2921,0.0253,0.3174
S33,T02,0.2569,-0.0258,0.2827
S34,T02,0.0987,-0.033,0.13169999999999998
S35,T02,0.2426,-0.0488,0.2914
S36,T02,0.1292,-0.0486,0.1778
S37,T02,0.3314,0.0133,0.34469999999999995
S38,T02,0.174,0.001,0.175
S39,T02,0.1592,-0.075,0.23420000000000002
S40,T02,0.1226,0.0185,0.1411
S41,T02,0.0652,-0.0207,0.08589999999999999
S42,T02,0.0027,0.0038,0.006500000000000001
S01,T03,0.1514,0.0478,0.19920000000000002
S02,T03,0.0421,0.0719,0.114
S03,T03,0.1439,-0.1026,0.2465
S04,T03,0.3803,-0.0079,0.38820000000000005
S05,T03,0.2404,0.0171,0.2575
S06,T03,0.1456,0.0014,0.14700000000000002
S07,T03,0.1439,-0.1026,0.2465
