,,work abs,work prod,direction
S01,T01,0.11635673692692837,0.04362320062201757,cw
S02,T01,0.08379599034353949,0.1358863683494952,cw
S03,T01,0.08968333708495962,0.144270064472907,cw
S04,T01,0.16794441171623548,0.06396211099981602,cw
S05,T01,0.12178562921465323,0.03945404213420009,cw
S06,T01,0.10005150760086783,0.07335540402693624,cw
S07,T01,0.08968333708495962,0.144270064472907,cw
S08,T01,0.12831816260095036,0.07525137586080836,cw
S09,T01,0.13644327063142211,0.077335805137092,cw
S10,T01,0.16961572666451685,0.07571473917785505,cw
S11,T01,0.17902710829182072,0.011636822397591675,ccw
S12,T01,0.08559202054920456,0.10921104547493578,cw
S13,T01,0.06251971882903423,0.13886221494017342,cw
S14,T01,0.0815686233643747,0.10996138841675146,cw
S15,T01,0.10807011836191195,0.10863349337534897,cw
S16,T01,0.09764149077885813,0.10802895113021473,cw
S17,T01,0.12536577324654483,0.01697353361041783,cw
S18,T01,0.04294347029572444,0.11911957770111968,cw
S19,T01,0.2548668781406923,0.02770242086682203,cw
S20,T01,0.11701818404429577,0.0781722886491565,cw
S21,T01,0.12801613937021192,0.025827408809212207,ccw
S22,T01,0.1401669628262993,0.04888443828616788,cw
S23,T01,0.10651620848051811,0.0441533652858343,cw
S24,T01,0.09296035368018091,0.0271489305822719,cw
S25,T01,0.06079537906612965,0.10215821123411269,cw
S26,T01,0.10517543986779289,0.03121872512643204,cw
S27,T01,0.13218835416839936,0.0573022764338736,cw
S28,T01,0.09146499187663751,0.0682958631482844,cw
S29,T01,0.06831255443737526,0.13096499232557285,cw
S30,T01,0.10728856774553208,0.16400621875469942,cw
S31,T01,0.1262537020203012,0.06292454385737024,cw
S32,T01,0.10428160130955541,0.03539641754563081,cw
S33,T01,0.1458007626592712,0.015090803249339124,cw
S34,T01,0.17929818251410892,0.002490333158254914,ccw
S35,T01,0.0968478098030965,0.07420445232717814,cw
S36,T01,0.060573617787802764,0.08734682153002403,cw
S37,T01,0.0581295619499026,0.005726911589578433,ccw
S38,T01,0.12763629846362307,0.03385413693208576,cw
S39,T01,0.054540893407145005,0.08590735757351238,cw
S40,T01,0.12955102264490628,0.018237171649886554,cw
S41,T01,0.09109445669266635,0.028815512323174076,cw
S42,T01,0.09487202455933362,0.024211850030410625,cw
S01,T02,0.15962554013327096,0.016325687226840677,cw
S02,T02,0.16047496892920562,0.01811722331343042,cw
S03,T02,0.1313124987308739,0.07747811331261048,cw
S04,T02,0.18398600080770414,0.03308745304791751,cw
S05,T02,0.16231691783952215,0.011035654689365113,cw
