,,TF15,TF15,TF15,TF15,TF15,TF15,TF15,TF15,TF15,TF15,TF15,TF15,TF15,TF15,TF15,TF15,TF15,TF15,TF15,TF15,TF15,TF15,TF15,TF15,TF15,TF15,TF15,TF15,TF15,TF15
,,ipsilateral,ipsilateral,ipsilateral,ipsilateral,ipsilateral,ipsilateral,ipsilateral,ipsilateral,ipsilateral,ipsilateral,ipsilateral,ipsilateral,ipsilateral,ipsilateral,ipsilateral,contralateral,contralateral,contralateral,contralateral,contralateral,contralateral,contralateral,contralateral,contralateral,contralateral,contralateral,contralateral,contralateral,contralateral,contralateral
,,0.19,0.19,0.19,0.254,0.254,0.254,0.317,0.317,0.317,0.381,0.381,0.381,0.444,0.444,0.444,0.19,0.19,0.19,0.254,0.254,0.254,0.317,0.317,0.317,0.381,0.381,0.381,0.444,0.444,0.444
,,-1sd,mean,+1sd,-1sd,mean,+1sd,-1sd,mean,+1sd,-1sd,mean,+1sd,-1sd,mean,+1sd,-1sd,mean,+1sd,-1sd,mean,+1sd,-1sd,mean,+1sd,-1sd,mean,+1sd,-1sd,mean,+1sd
position,0.0,-2.634894655105704,-2.543871363636363,-2.452848072167022,-3.152831371911266,-3.0286123333333332,-2.9043932947554003,-3.628613755670755,-3.4540043243243237,-3.2793948929778924,-4.266322260338288,-4.119013538461539,-3.9717048165847895,-4.928674995066898,-4.632873870967743,-4.337072746868588,2.8505087288107043,3.542546212121213,4.234583695431722,3.1752431300549793,3.886812166666666,4.598381203278353,3.2157245712466613,4.088588783783783,4.961452996320905,3.4077135128922187,4.185462461538462,4.963211410184705,4.521563090820694,5.205538064516128,5.889513038211563
position,0.001,-2.73199113024836,-2.6388900693939394,-2.545789008539519,-3.2562286518185504,-3.1299333858333336,-3.003638119848117,-3.7415579498436147,-3.5644353994594593,-3.387312849075304,-4.39370767475518,-4.244475733846154,-4.095243792937128,-5.057755770273778,-4.769673727096774,-4.48159168391977,2.7012965898255064,3.3986133331818174,4.095930076538129,3.0157173626734264,3.729679579333332,4.443641795993237,3.049541666852847,3.926147266621622,4.802752866390397,3.2161916752251543,3.9958491630769224,4.7755066509286905,4.330011204010012,5.016473849516131,5.702936495022249
position,0.002,-2.8292740761708766,-2.733908775151515,-2.6385434741321534,-3.3597163751575914,-3.2312544383333326,-3.102792501509074,-3.854570048317626,-3.674866474594596,-3.4951629008715654,-4.5211768696368315,-4.369937929230768,-4.218698988824705,-5.186967094499456,-4.9064735832258055,-4.625980071952155,2.551858301976703,3.2546804542424246,3.9575026065081462,2.8560202236090966,3.5725469920000004,4.289073760390904,2.883213053279204,3.7637057494594606,4.6441984456397165,3.0245192442958793,3.8062358646153855,4.587952484934892,4.138325983117049,4.82740963451613,5.51649328591521
position,0.003,-2.926723050399234,-2.8289237113636356,-2.731124372328037,-3.463290044546053,-3.3325754908333334,-3.201860937120614,-3.9676471677108127,-3.7852975497297305,-3.6029479317486484,-4.648726555030962,-4.495400124615385,-4.342073694199807,-5.316319852653155,-5.043273439354837,-4.770227026056519,2.4021067647869025,3.110654232878789,3.8192017009706754,2.6961535459562516,3.415414404666666,4.134675263377081,2.7167406515090518,3.6012642322972988,4.485787813085546,2.8326974067912953,3.616622566153847,4.4005477255163985,3.9465089435390643,4.6383454195161296,5.330181895493195
position,0.004,-3.023385968241895,-2.9232438630303026,-2.8231017578187103,-3.5664527555257775,-3.433561287333333,-3.300669819140889,-4.080688650260636,-3.8956502967567577,-3.7106119432528795,-4.77635348918326,-4.620862319999999,-4.465371150816737,-5.44582593506888,-5.18007329548387,-4.914320655898861,2.2392182616113674,2.9539134418181816,3.668608622024996,2.532513160585616,3.2543628080000007,3.976212455414385,2.5494229263978667,3.438144921621622,4.326866916845377,2.640727421687404,3.4270092676923096,4.213291113697215,3.7545616522679714,4.44928120451613,5.144000756764289
position,0.005,-3.1200207313592934,-3.017402177272729,-2.914783623186165,-3.6684265801621505,-3.5336451925000008,-3.398863804837851,-4.191190658175005,-4.004142950675676,-3.8170952431763463,-4.9018342069725,-4.744572026923078,-4.587309846873656,-5.57370639832528,-5.315184832258064,-5.0566632661908475,2.073475555354272,2.79461210530303,3.5157486552517883,2.359965020407579,3.0837784683333345,3.80759191625909,2.3681126825983596,3.261006243243243,4.153899803888127,2.4362754586779043,3.225300639230769,4.014325819783634,3.5504701935044443,4.2473575620967745,4.944244930689105
position,0.006,-3.216755736721187,-3.111512572121213,-3.0062694075212386,-3.7704839773124177,-3.6337290976666665,-3.4969742180209153,-4.301585265282004,-4.112514648918919,-3.923444032555834,-5.026480824639808,-4.8675479707692295,-4.708615116898651,-5.700854265425972,-5.449446540645162,-5.1980388158643525,1.907348733016312,2.6351598803030307,3.3629710275897495,2.187199845369762,2.913194128666666,3.6391884119635702,2.186097493632043,3.0831922756756756,3.980287057719308,2.226728855540876,3.018688890153846,3.8106489247668156,3.3396793257589192,4.038744461612903,4.737809597466886
