,,,,point 0,point 1,point 2,point 3,point 4,point 5
TF01,ipsilateral,0.6 m/s,-1sd,0,70,506,738,924,
TF01,ipsilateral,0.6 m/s,mean,0,69,499,675,918,
TF01,ipsilateral,0.6 m/s,+1sd,0,68,503,735,914,
TF01,ipsilateral,0.8 m/s,-1sd,0,78,485,801,936,
TF01,ipsilateral,0.8 m/s,mean,0,78,487,751,937,
TF01,ipsilateral,0.8 m/s,+1sd,0,78,660,808,939,
TF01,ipsilateral,1.0 m/s,-1sd,0,74,482,750,924,
TF01,ipsilateral,1.0 m/s,mean,0,75,484,754,927,
TF01,ipsilateral,1.0 m/s,+1sd,0,76,486,759,929,
TF01,ipsilateral,1.2 m/s,-1sd,0,78,641,756,930,
TF01,ipsilateral,1.2 m/s,mean,0,78,643,759,931,
TF01,ipsilateral,1.2 m/s,+1sd,0,78,644,763,933,
TF01,ipsilateral,1.4 m/s,-1sd,0,469,629,763,929,
TF01,ipsilateral,1.4 m/s,mean,0,81,468,635,833,
TF01,ipsilateral,1.4 m/s,+1sd,0,83,468,638,831,
TF01,contralateral,0.6 m/s,-1sd,0,60,334,596,745,879.0
TF01,contralateral,0.6 m/s,mean,0,60,331,596,742,938.0
TF01,contralateral,0.6 m/s,+1sd,0,60,328,597,738,935.0
TF01,contralateral,0.8 m/s,-1sd,0,67,347,575,723,877.0
TF01,contralateral,0.8 m/s,mean,0,68,355,576,722,861.0
TF01,contralateral,0.8 m/s,+1sd,0,70,385,579,721,852.0
TF01,contralateral,1.0 m/s,-1sd,0,69,334,539,694,862.0
TF01,contralateral,1.0 m/s,mean,0,70,334,540,692,861.0
TF01,contralateral,1.0 m/s,+1sd,0,71,334,542,689,861.0
TF01,contralateral,1.2 m/s,-1sd,0,72,316,500,676,865.0
TF01,contralateral,1.2 m/s,mean,0,72,316,506,682,861.0
TF01,contralateral,1.2 m/s,+1sd,0,72,325,509,685,861.0
TF01,contralateral,1.4 m/s,-1sd,0,72,372,484,669,861.0
TF01,contralateral,1.4 m/s,mean,0,72,380,486,672,861.0
TF01,contralateral,1.4 m/s,+1sd,0,72,386,488,674,861.0
TF02,ipsilateral,0.4 m/s,-1sd,0,134,494,776,939,
TF02,ipsilateral,0.4 m/s,mean,0,146,492,782,939,
TF02,ipsilateral,0.4 m/s,+1sd,0,152,490,788,939,
TF02,ipsilateral,0.5 m/s,-1sd,0,165,496,695,852,
TF02,ipsilateral,0.5 m/s,mean,0,163,494,690,841,
TF02,ipsilateral,0.5 m/s,+1sd,0,161,491,690,834,
TF02,ipsilateral,0.6 m/s,-1sd,0,105,500,766,835,
TF02,ipsilateral,0.6 m/s,mean,0,103,499,771,835,
TF02,ipsilateral,0.6 m/s,+1sd,0,101,497,701,832,
TF02,ipsilateral,0.7 m/s,-1sd,0,132,485,782,850,
TF02,ipsilateral,0.7 m/s,mean,0,128,486,781,850,
TF02,ipsilateral,0.7 m/s,+1sd,0,124,486,779,850,
TF02,contralateral,0.4 m/s,-1sd,0,44,304,564,700,846.0
TF02,contralateral,0.4 m/s,mean,0,46,306,566,700,845.0
TF02,contralateral,0.4 m/s,+1sd,0,48,306,570,700,843.0
TF02,contralateral,0.5 m/s,-1sd,0,52,179,550,714,939.0
TF02,contralateral,0.5 m/s,mean,0,54,180,551,706,832.0
TF02,contralateral,0.5 m/s,+1sd,0,56,182,553,706,832.0
TF02,contralateral,0.6 m/s,-1sd,0,55,197,522,694,828.0
TF02,contralateral,0.6 m/s,mean,0,54,277,525,693,827.0
TF02,contralateral,0.6 m/s,+1sd,0,54,277,527,693,826.0
TF02,contralateral,0.7 m/s,-1sd,0,57,249,517,685,836.0
TF02,contralateral,0.7 m/s,mean,0,59,252,517,684,835.0
TF02,contralateral,0.7 m/s,+1sd,0,62,252,518,683,834.0
TF05,ipsilateral,0.4 m/s,-1sd,0,77,441,701,943,
TF05,ipsilateral,0.4 m/s,mean,0,78,439,705,943,
TF05,ipsilateral,0.4 m/s,+1sd,0,78,436,706,943,
TF05,ipsilateral,0.5 m/s,-1sd,0,76,428,697,941,
TF05,ipsilateral,0.5 m/s,mean,0,76,428,702,941,
TF05,ipsilateral,0.5 m/s,+1sd,0,76,428,706,941,
TF05,ipsilateral,0.6 m/s,-1sd,0,77,438,681,938,
TF05,ipsilateral,0.6 m/s,mean,0,77,436,683,938,
TF05,ipsilateral,0.6 m/s,+1sd,0,77,434,685,938,
TF05,ipsilateral,0.7 m/s,-1sd,0,75,440,667,934,
TF05,ipsilateral,0.7 m/s,mean,0,75,439,668,934,
