,,,,intercept,stiffness,MSE,R2,inverted
TF01,ipsilateral,0.189,CP,-0.04465720886553315,1.2139273677925007,8.895322284504438e-06,0.9910818652474646,False
TF01,ipsilateral,0.189,ERP,0.33239882303399637,4.365639075433315,0.008228563201219176,0.9686272891660109,False
TF01,ipsilateral,0.189,LRP,-0.22676890822717233,5.4070645475999,0.0011582619781015978,0.9962946008274871,False
TF01,ipsilateral,0.252,CP,-0.08918175477947171,1.2344834800130864,0.0001345588778160238,0.9262891809501703,False
TF01,ipsilateral,0.252,ERP,0.3461529646983242,4.095443387501884,0.006574703666024946,0.978545601377864,False
TF01,ipsilateral,0.252,LRP,-0.23512879336377973,5.275971315313274,0.0005869117198657137,0.9982138218647431,False
TF01,ipsilateral,0.315,CP,-0.1221544314796806,0.9304786698237917,0.00038234680494443645,0.7332652678702933,False
TF01,ipsilateral,0.315,ERP,0.33966030283210824,3.943935094467602,0.003670913698954429,0.9898679114224035,False
TF01,ipsilateral,0.315,LRP,-0.3284806723453016,5.274949519012687,0.0009373312382899192,0.997545473360838,False
TF01,ipsilateral,0.378,CP,-0.13181436197948915,0.8255878153269992,0.0006286760784188925,0.6397219096214952,False
TF01,ipsilateral,0.378,ERP,0.2537653541910423,3.819982683990483,0.03916458819196918,0.9014084748000415,False
TF01,ipsilateral,0.378,LRP,0.06604056106096554,0.22135927927536528,2.1768722533906047e-05,0.046006500104445625,True
TF01,ipsilateral,0.441,CP,-0.15988026995928611,0.7362236842938426,0.001495812704775828,0.40976919956808966,False
TF01,ipsilateral,0.441,ERP,0.3841200166599497,3.828704727331387,0.0010902736899261588,0.9973611549692989,False
TF01,ipsilateral,0.441,LRP,-0.2949669363612186,5.460621008087048,0.0007546662025102354,0.9983681060957061,False
TF01,contralateral,0.189,CP,-0.02012836757229647,0.5649704441601724,1.6336129953004986e-05,0.9623919053328421,False
TF01,contralateral,0.189,ERP,0.2901484935881592,3.550709995982034,0.0005090099126556781,0.9905313224574493,False
TF01,contralateral,0.189,LRP,0.45984991933932967,2.3649417243018322,0.00033050744385103997,0.98893835250609,False
TF01,contralateral,0.189,DP,0.2726381521641916,2.5546778584948466,0.0017513562705894048,0.9898135962341212,False
TF01,contralateral,0.252,CP,-0.04837778662492396,0.6763189254834655,0.00032643789809532424,0.7558501182151242,False
TF01,contralateral,0.252,ERP,0.38674228930838445,3.645539597064287,0.0003145420234100401,0.9949739835947514,False
TF01,contralateral,0.252,LRP,0.3101222052170223,4.526072025574513,2.8188000120389886e-05,0.99964015072577,False
TF01,contralateral,0.252,DP,0.5674030145323334,3.312176459116935,0.0069293640586536994,0.9803374992527325,False
TF01,contralateral,0.315,CP,-0.0741474304054475,0.42130217400395753,0.00032753119067303936,0.6037167447734286,False
TF01,contralateral,0.315,ERP,0.4951989191856926,3.6001906667048784,0.00018073589884079393,0.9969105116431358,False
TF01,contralateral,0.315,LRP,0.38890073317621543,5.509828243350299,0.00027282790142857177,0.9975404366532322,False
TF01,contralateral,0.315,DP,0.9718763476280056,3.3576279475410615,0.00691668301479087,0.9864948444916664,False
TF01,contralateral,0.378,CP,-0.09263413681790472,0.41514298491535945,0.0004574050647515096,0.5305998723907408,False
TF01,contralateral,0.378,ERP,0.5575861000481982,3.6650527014042638,0.0005471927459789718,0.9909185945493866,False
TF01,contralateral,0.378,LRP,0.2592650323337591,7.8323823511376975,0.0016971153209341646,0.9887776137520636,False
TF01,contralateral,0.378,DP,1.379501456251114,3.2454772896453945,0.009585797634227374,0.985893664010842,False
TF01,contralateral,0.441,CP,-0.1655760786791858,-0.015546317026530417,0.0031231814595628804,0.00024594173976677514,False
