,,,work abs,work prod,direction
TF01,ipsilateral,0.189,0.19898692572440485,0.14503077722625732,cw
TF01,ipsilateral,0.252,0.21761720605159332,0.1592046209962353,cw
TF01,ipsilateral,0.315,0.2613702107512533,0.1882123286185937,cw
TF01,ipsilateral,0.378,0.2738282008852738,0.19272327316373652,cw
TF01,ipsilateral,0.441,0.30783898952515115,0.18072302015012376,cw
TF01,contralateral,0.189,0.2396908042882876,0.05090451341513114,cw
TF01,contralateral,0.252,0.3115086090663849,0.0161683998101699,ccw
TF01,contralateral,0.315,0.3362831043914032,0.1414028483811548,ccw
TF01,contralateral,0.378,0.30063931888692336,0.3166928976260066,ccw
TF01,contralateral,0.441,0.2910113111469678,0.4875425104704527,ccw
TF05,ipsilateral,0.131,0.04705442515718083,0.03658834907882392,cw
TF05,ipsilateral,0.163,0.05707553143133561,0.03908776229666858,cw
TF05,ipsilateral,0.196,0.06421634394347861,0.04405753206830478,cw
TF05,ipsilateral,0.229,0.07677576993698407,0.05086570156562947,cw
TF05,ipsilateral,0.262,0.08209848164534954,0.05228249002372606,cw
TF05,contralateral,0.131,0.1151151950684779,0.06391069833849593,ccw
TF05,contralateral,0.163,0.1371250021887342,0.08506523857416588,ccw
TF05,contralateral,0.196,0.13014994053839835,0.12292942105383513,ccw
TF05,contralateral,0.229,0.13211425322026243,0.15953121846112517,ccw
TF05,contralateral,0.262,0.1259800092458753,0.17628027898176168,ccw
TF06,contralateral,0.129,0.09957783661317673,0.0008315217911544257,ccw
TF06,contralateral,0.161,0.10478178376380518,0.004243946957925296,cw
TF06,contralateral,0.193,0.11383607842918239,0.014996783717901231,ccw
TF06,contralateral,0.225,0.13309309574870443,0.0038903061873181905,cw
TF06,contralateral,0.258,0.14408076599225478,0.015369969562704134,ccw
TF07,ipsilateral,0.182,0.07105319568846966,0.06581215946080707,cw
TF07,ipsilateral,0.243,0.08984501564881378,0.07285795522019585,cw
TF07,ipsilateral,0.304,0.10876604264509389,0.07161084459892007,cw
TF07,ipsilateral,0.365,0.13719872774440056,0.06888888031658456,cw
TF07,ipsilateral,0.425,0.14506369499327004,0.06406532832029568,cw
TF07,contralateral,0.182,0.08058204580808427,0.1401107705272158,cw
TF07,contralateral,0.243,0.15713865849784095,0.07530566428686755,cw
TF07,contralateral,0.304,0.2193469960661044,0.02592636648599869,ccw
TF07,contralateral,0.365,0.1370308485869423,0.21968763738159866,ccw
TF07,contralateral,0.425,0.1206931921981517,0.31707714421463123,ccw
TF08,ipsilateral,0.185,0.15556336901624063,0.0855398459828481,cw
TF08,ipsilateral,0.247,0.19011118841907307,0.09131408503557362,cw
TF08,ipsilateral,0.309,0.1992647951241607,0.10110634868880378,cw
TF08,ipsilateral,0.371,0.2206905073776816,0.10734199874723548,cw
TF08,ipsilateral,0.432,0.23965574687601537,0.10813598784317517,cw
TF08,contralateral,0.185,0.15631485922878585,0.027594176367827693,ccw
TF08,contralateral,0.247,0.18801236430275,0.024433292846842418,ccw
TF08,contralateral,0.309,0.17374306215136148,0.12320967720299272,ccw
TF08,contralateral,0.371,0.1752974412268232,0.2563547259186626,ccw
TF08,contralateral,0.432,0.21067027273553263,0.24608955615948713,ccw
TF09,ipsilateral,0.129,0.09891285515429056,0.04439157126939902,cw
TF09,ipsilateral,0.161,0.11103638185250796,0.051852568650358276,cw
TF09,ipsilateral,0.193,0.11500704109622774,0.05858222461148345,cw
TF09,ipsilateral,0.225,0.11673124914766662,0.06267353806680341,cw
TF09,ipsilateral,0.258,0.13181353170524962,0.07690792923753476,cw
TF09,contralateral,0.129,0.14023026697065472,0.08083032009979817,ccw
TF09,contralateral,0.161,0.1442805618975266,0.10564123114737865,ccw
TF09,contralateral,0.193,0.16972742945821231,0.13076708123466768,ccw
TF09,contralateral,0.225,0.18945679223079676,0.16925740415024018,ccw
TF09,contralateral,0.258,0.1940925933515953,0.23061172596505103,ccw
TF10,contralateral,0.131,0.07367012905673687,0.052526342379979114,ccw
TF10,contralateral,0.163,0.13217727140053553,0.014302626445415084,cw
TF10,contralateral,0.196,0.15640577002338918,0.011500344733320324,ccw
TF10,contralateral,0.229,0.1295903857549823,0.0909219869105371,ccw
TF10,contralateral,0.262,0.10986891066765812,0.13508384495077214,ccw
TF11,ipsilateral,0.194,0.10141842790105947,0.04027511234639834,cw
TF11,ipsilateral,0.259,0.1168649628459959,0.045576736883080754,cw
TF11,ipsilateral,0.324,0.14006360008417665,0.043876676205839446,cw
TF11,ipsilateral,0.389,0.16332628277339306,0.046176628922964,cw
TF11,ipsilateral,0.454,0.19269338637968286,0.045483257806904744,cw
TF11,contralateral,0.194,0.12228111685282703,0.059020755877591854,ccw
TF11,contralateral,0.259,0.1320924933117899,0.12024296015791372,ccw
TF11,contralateral,0.324,0.12466303128395798,0.20005227645912046,ccw
TF11,contralateral,0.389,0.1196841442132408,0.28302984711867846,ccw
TF11,contralateral,0.454,0.11098327917404041,0.36421148809284043,ccw
TF12,ipsilateral,0.124,0.03246808090402243,0.02943432000417581,cw
TF12,ipsilateral,0.155,0.053556888241695036,0.022128517890175257,cw
TF12,ipsilateral,0.186,0.07057538429271484,0.017462200471324348,cw
TF12,ipsilateral,0.217,0.0849792532533237,0.019959013279826878,cw
TF12,ipsilateral,0.248,0.07769799467643623,0.027885777938989692,cw
TF12,contralateral,0.124,0.2125767968155646,0.002487176077616979,cw
TF12,contralateral,0.155,0.2178823091485478,0.011334203793594405,cw
TF12,contralateral,0.186,0.21879097281474755,0.0311886746458169,cw
TF12,contralateral,0.217,0.23785523463813366,0.0380902220948741,ccw
TF12,contralateral,0.248,0.24613451196717145,0.0749558060373036,ccw
TF13,ipsilateral,0.184,0.0627917163726537,0.028222651168194692,cw
TF13,ipsilateral,0.245,0.09315003657927393,0.029947103236856475,cw
TF13,ipsilateral,0.306,0.11964582593295366,0.027633603594288215,cw
TF13,ipsilateral,0.368,0.1347894818330374,0.02220932782772397,cw
TF13,ipsilateral,0.429,0.16102673343499738,0.01140529965713521,cw
TF13,contralateral,0.184,0.23970437356146065,0.0459070869358303,cw
TF13,contralateral,0.245,0.32085835776166727,0.007465261633077011,ccw
TF13,contralateral,0.306,0.3262593085008393,0.09342264286536574,ccw
TF13,contralateral,0.368,0.30023977245599764,0.2090482112634828,ccw
TF13,contralateral,0.429,0.32081401427212536,0.2947998251372476,ccw
TF14,ipsilateral,0.128,0.026614756144255267,0.06139633126385706,cw
TF14,ipsilateral,0.16,0.034518174397523686,0.06465781833034479,cw
TF14,ipsilateral,0.192,0.04294301722550502,0.062267095008768425,cw
TF14,ipsilateral,0.223,0.0505770957444924,0.0666364531860934,cw
TF14,ipsilateral,0.255,0.05397433751878758,0.07231029980716233,cw
TF14,contralateral,0.128,0.11420165550558267,0.06174402522562743,ccw
TF14,contralateral,0.16,0.1360227764654561,0.06400530689072902,ccw
TF14,contralateral,0.192,0.13481541177572412,0.08572812554547714,ccw
TF14,contralateral,0.223,0.1525837437210371,0.06983660166971976,ccw
TF14,contralateral,0.255,0.1655172091733792,0.10634090845818699,ccw
TF15,ipsilateral,0.19,0.13253628729900613,0.03168200971253365,cw
TF15,ipsilateral,0.254,0.17163556633926458,0.031055456795105286,cw
TF15,ipsilateral,0.317,0.20855505650695685,0.030130329480856113,cw
TF15,ipsilateral,0.381,0.24955014900436961,0.027202098532721243,cw
TF15,ipsilateral,0.444,0.3064301716070979,0.02124870985931932,cw
TF15,contralateral,0.19,0.1733947918695205,0.03561088183782937,ccw
TF15,contralateral,0.254,0.2052206560195868,0.06308015215391453,ccw
TF15,contralateral,0.317,0.20257546586851805,0.20290744802857483,ccw
TF15,contralateral,0.381,0.1897670808948279,0.3340639480466877,ccw
TF15,contralateral,0.444,0.1982028458162849,0.3971000912107239,ccw
TF16,ipsilateral,0.188,0.10803431760087609,0.08720224722514153,cw
TF16,ipsilateral,0.25,0.15215940573386535,0.09204048011350593,cw
TF16,ipsilateral,0.313,0.18822045855341496,0.11259712286980261,cw
TF16,ipsilateral,0.376,0.20984004138715776,0.12223099388331157,cw
TF16,ipsilateral,0.438,0.22886580853290578,0.12878068913641944,cw
TF16,contralateral,0.188,0.14943090032036127,0.03515486148665973,ccw
TF16,contralateral,0.25,0.157346390937756,0.10280762624394725,ccw
TF16,contralateral,0.313,0.12912103753953352,0.1492223969762805,ccw
TF16,contralateral,0.376,0.13066545551586134,0.22325184977457682,ccw
TF16,contralateral,0.438,0.12294157678193901,0.3011492721187829,ccw
TF17,ipsilateral,0.182,0.11012791435521911,0.030634925072555958,cw
TF17,ipsilateral,0.243,0.13178503405832953,0.0335186988469495,cw
TF17,ipsilateral,0.304,0.15894867160753864,0.03950435356988891,cw
TF17,ipsilateral,0.365,0.1893807413388058,0.04469698983095961,cw
TF17,ipsilateral,0.425,0.21050042201227215,0.04901871838847322,cw
TF17,contralateral,0.182,0.13337991041725905,0.14322933246271147,ccw
TF17,contralateral,0.243,0.1361593481262703,0.20821799367812957,ccw
TF17,contralateral,0.304,0.13516014326790915,0.2764690339591534,ccw
TF17,contralateral,0.365,0.13317807268563883,0.3670332692470657,ccw
TF17,contralateral,0.425,0.1380553737946059,0.42286911644520875,ccw
TF18,ipsilateral,0.128,0.04719294445794625,0.07759971037430367,cw
TF18,ipsilateral,0.16,0.061686182761939344,0.08451496684936127,cw
TF18,ipsilateral,0.192,0.0712812873261757,0.09246378517362745,cw
TF18,ipsilateral,0.223,0.08116260974187453,0.09682501306057759,cw
TF18,ipsilateral,0.255,0.09922531185939953,0.09944577158979774,cw
TF18,contralateral,0.128,0.12143350618671511,0.004593983223554092,cw
TF18,contralateral,0.16,0.13722149690303012,0.003833067426628644,cw
TF18,contralateral,0.192,0.17302235510938316,0.011557095840214159,cw
TF18,contralateral,0.223,0.192254515780021,0.024496063663012425,ccw
TF18,contralateral,0.255,0.18728368596141415,0.07002854995997707,ccw
TF19,ipsilateral,0.199,0.17985814310363646,0.10852333726916437,cw
TF19,ipsilateral,0.266,0.25577934034404914,0.11584865433063354,cw
TF19,ipsilateral,0.332,0.30516474815009775,0.12134763071200758,cw
TF19,ipsilateral,0.398,0.35711350575033335,0.12192317383067436,cw
TF19,ipsilateral,0.465,0.3950468214612849,0.14826897173640358,cw
TF19,contralateral,0.199,0.17733353564178114,0.028290229492318464,cw
TF19,contralateral,0.266,0.2080471389503083,0.05101747373348973,ccw
TF19,contralateral,0.332,0.20462666169862515,0.14991542605927596,ccw
TF19,contralateral,0.398,0.19915706490306384,0.2486200226491731,ccw
TF19,contralateral,0.465,0.17866111458125294,0.32674086851641493,ccw
TF20,ipsilateral,0.126,0.006328187354349794,0.036927590744636994,cw
TF20,ipsilateral,0.157,0.01263837868068359,0.04696530304311372,cw
TF20,ipsilateral,0.189,0.022124268042401904,0.05687255844318407,cw
TF20,ipsilateral,0.22,0.03608616580375465,0.06481815578436391,cw
TF20,ipsilateral,0.252,0.05191297587997536,0.07638854264513252,cw
TF20,contralateral,0.126,0.11785019064330378,0.1412364436449144,cw
TF20,contralateral,0.157,0.14365034600792045,0.14937244525650767,cw
TF20,contralateral,0.189,0.10266807429300423,0.1335532509602971,cw
TF20,contralateral,0.22,0.13841905978355953,0.09648012185698335,cw
TF20,contralateral,0.252,0.20455074826806044,0.06299771948136551,cw
