,,point 0,point 1,point 2,point 3,point 4
0.4 m/s,-1sd,0,160,351,527,813
0.4 m/s,mean,0,157,527,716,892
0.4 m/s,+1sd,0,155,349,527,806
0.5 m/s,-1sd,0,148,520,773,900
0.5 m/s,mean,0,149,519,787,900
0.5 m/s,+1sd,0,150,519,799,900
0.6 m/s,-1sd,0,117,497,813,900
0.6 m/s,mean,0,121,499,807,900
0.6 m/s,+1sd,0,124,499,803,900
0.7 m/s,-1sd,0,87,487,824,900
0.7 m/s,mean,0,92,485,684,906
0.7 m/s,+1sd,0,95,482,679,912
0.8 m/s,-1sd,0,86,640,800,900
0.8 m/s,mean,0,91,486,812,900
0.8 m/s,+1sd,0,97,486,808,900
