,point 0,point 1,point 2,point 3,point 4
S01_0002_Gait,8,31,48,64,83
S01_0003_Gait,7,31,48,64,84
S01_0004_Gait,5,26,46,63,82
S01_0005_Gait,5,29,47,64,85
S01_0008_Gait,9,30,50,66,82
S01_0010_Gait,7,30,48,65,83
S01_0011_Gait,7,28,48,65,83
S01_0012_Gait,5,30,48,64,83
S01_0013_Gait,5,28,48,64,82
S01_0014_Gait,7,30,49,65,83
S01_0015_Gait,6,24,47,65,83
S01_0016_Gait,7,32,49,66,84
S01_0019_Gait,6,26,45,66,84
S01_0020_Gait,6,31,49,65,82
S01_0021_Gait,7,28,48,65,84
S02_0002_Gait,7,25,48,66,86
S02_0003_Gait,5,30,46,65,87
S02_0004_Gait,5,30,48,65,83
S02_0005_Gait,6,30,49,65,86
S02_0008_Gait,6,24,46,64,85
S02_0009_Gait,5,27,45,63,84
S02_0010_Gait,5,23,45,64,82
S02_0011_Gait,6,23,46,65,86
S02_0012_Gait,6,29,47,64,86
S02_0013_Gait,5,29,48,65,87
S02_0014_Gait,6,23,46,64,85
S02_0015_Gait,6,25,44,64,84
S02_0017_Gait,5,28,47,64,85
S02_0018_Gait,6,25,46,65,85
S02_0019_Gait,7,30,48,65,85
S03_0003_Gait,8,24,48,66,85
S03_0005_Gait,9,31,49,67,85
S03_0006_Gait,8,24,48,67,86
S03_0007_Gait,8,24,48,66,84
S03_0008_Gait,7,23,48,67,85
S03_0009_Gait,8,25,50,68,87
S03_0010_Gait,9,25,50,68,86
S03_0011_Gait,8,24,47,67,85
S03_0012_Gait,7,23,48,66,84
S03_0013_Gait,9,25,50,67,86
S03_0014_Gait,9,25,50,67,86
S03_0016_Gait,8,24,49,67,86
S03_0017_Gait,7,23,48,67,86
S03_0018_Gait,9,25,49,67,85
S03_0019_Gait,9,25,50,67,85
S03_0020_Gait,9,33,49,67,85
S03_0021_Gait,9,28,49,66,84
S04_0002_Gait,9,27,47,65,86
S04_0003_Gait,7,23,47,66,86
S04_0004_Gait,5,24,47,66,84
S04_0007_Gait,9,26,47,66,86
S04_0009_Gait,5,21,47,66,88
S04_0010_Gait,8,24,49,66,89
S04_0011_Gait,7,23,47,66,86
S04_0012_Gait,8,24,49,66,84
S04_0013_Gait,5,22,47,66,85
S04_0014_Gait,5,26,48,66,84
S04_0015_Gait,7,24,47,65,84
S04_0016_Gait,8,25,48,66,85
S04_0017_Gait,5,24,48,66,86
S04_0018_Gait,8,24,48,66,87
S04_0019_Gait,6,26,49,66,85
