[2020-08-03 09:02:36.074] [info] Loaded model model from file dynamic_walker_example_model.osim
[2020-08-03 09:02:36.074] [warning] Couldn't find file 'box.vtp'.
[2020-08-22 16:18:25.357] [info] Processing subject S01_scaled...
[2020-08-22 16:18:25.369] [info] Step 1: Loading generic model
[2020-08-22 16:18:25.482] [info] Loaded model FullBodyModel_MuscleActuatedLowerLimb_TorqueActuatedUpperBody from file /home/nikorose/Documents/DJS-GA/C3D/Gait_rawdata_c3d/osim_files_S01/custom_model.osim
[2020-08-22 16:18:25.483] [warning] Couldn't find file 'r_pelvis.vtp'.
[2020-08-22 16:18:25.484] [warning] Couldn't find file 'l_pelvis.vtp'.
[2020-08-22 16:18:25.484] [warning] Couldn't find file 'sacrum.vtp'.
[2020-08-22 16:18:25.484] [warning] Couldn't find file 'r_femur.vtp'.
[2020-08-22 16:18:25.484] [warning] Couldn't find file 'r_tibia.vtp'.
[2020-08-22 16:18:25.484] [warning] Couldn't find file 'r_fibula.vtp'.
[2020-08-22 16:18:25.484] [warning] Couldn't find file 'r_patella.vtp'.
[2020-08-22 16:18:25.484] [warning] Couldn't find file 'r_talus.vtp'.
[2020-08-22 16:18:25.484] [warning] Couldn't find file 'r_foot.vtp'.
[2020-08-22 16:18:25.484] [warning] Couldn't find file 'r_bofoot.vtp'.
[2020-08-22 16:18:25.484] [warning] Couldn't find file 'l_femur.vtp'.
[2020-08-22 16:18:25.484] [warning] Couldn't find file 'l_tibia.vtp'.
[2020-08-22 16:18:25.484] [warning] Couldn't find file 'l_fibula.vtp'.
[2020-08-22 16:18:25.485] [warning] Couldn't find file 'l_patella.vtp'.
[2020-08-22 16:18:25.485] [warning] Couldn't find file 'l_talus.vtp'.
[2020-08-22 16:18:25.485] [warning] Couldn't find file 'l_foot.vtp'.
[2020-08-22 16:18:25.485] [warning] Couldn't find file 'l_bofoot.vtp'.
[2020-08-22 16:18:25.485] [warning] Couldn't find file 'hat_spine.vtp'.
[2020-08-22 16:18:25.485] [warning] Couldn't find file 'hat_jaw.vtp'.
[2020-08-22 16:18:25.485] [warning] Couldn't find file 'hat_skull.vtp'.
[2020-08-22 16:18:25.485] [warning] Couldn't find file 'hat_ribs_scap.vtp'.
[2020-08-22 16:18:25.485] [warning] Couldn't find file 'humerus_rv.vtp'.
[2020-08-22 16:18:25.485] [warning] Couldn't find file 'ulna_rv.vtp'.
[2020-08-22 16:18:25.485] [warning] Couldn't find file 'radius_rv.vtp'.
[2020-08-22 16:18:25.485] [warning] Couldn't find file 'pisiform_rvs.vtp'.
[2020-08-22 16:18:25.485] [warning] Couldn't find file 'lunate_rvs.vtp'.
[2020-08-22 16:18:25.485] [warning] Couldn't find file 'scaphoid_rvs.vtp'.
[2020-08-22 16:18:25.485] [warning] Couldn't find file 'triquetrum_rvs.vtp'.
[2020-08-22 16:18:25.485] [warning] Couldn't find file 'hamate_rvs.vtp'.
[2020-08-22 16:18:25.486] [warning] Couldn't find file 'capitate_rvs.vtp'.
[2020-08-22 16:18:25.486] [warning] Couldn't find file 'trapezoid_rvs.vtp'.
[2020-08-22 16:18:25.486] [warning] Couldn't find file 'trapezium_rvs.vtp'.
[2020-08-22 16:18:25.486] [warning] Couldn't find file 'metacarpal2_rvs.vtp'.
[2020-08-22 16:18:25.486] [warning] Couldn't find file 'index_proximal_rvs.vtp'.
[2020-08-22 16:18:25.486] [warning] Couldn't find file 'index_medial_rvs.vtp'.
[2020-08-22 16:18:25.486] [warning] Couldn't find file 'index_distal_rvs.vtp'.
[2020-08-22 16:18:25.486] [warning] Couldn't find file 'metacarpal3_rvs.vtp'.
[2020-08-22 16:18:25.486] [warning] Couldn't find file 'middle_proximal_rvs.vtp'.
[2020-08-22 16:18:25.486] [warning] Couldn't find file 'middle_medial_rvs.vtp'.
[2020-08-22 16:18:25.486] [warning] Couldn't find file 'middle_distal_rvs.vtp'.
[2020-08-22 16:18:25.486] [warning] Couldn't find file 'metacarpal4_rvs.vtp'.
[2020-08-22 16:18:25.486] [warning] Couldn't find file 'ring_proximal_rvs.vtp'.
[2020-08-22 16:18:25.486] [warning] Couldn't find file 'ring_medial_rvs.vtp'.
[2020-08-22 16:18:25.486] [warning] Couldn't find file 'ring_distal_rvs.vtp'.
[2020-08-22 16:18:25.486] [warning] Couldn't find file 'metacarpal5_rvs.vtp'.
[2020-08-22 16:18:25.486] [warning] Couldn't find file 'little_proximal_rvs.vtp'.
[2020-08-22 16:18:25.486] [warning] Couldn't find file 'little_medial_rvs.vtp'.
[2020-08-22 16:18:25.486] [warning] Couldn't find file 'little_distal_rvs.vtp'.
[2020-08-22 16:18:25.487] [warning] Couldn't find file 'metacarpal1_rvs.vtp'.
[2020-08-22 16:18:25.487] [warning] Couldn't find file 'thumb_proximal_rvs.vtp'.
[2020-08-22 16:18:25.487] [warning] Couldn't find file 'thumb_distal_rvs.vtp'.
[2020-08-22 16:18:25.487] [warning] Couldn't find file 'humerus_lv.vtp'.
[2020-08-22 16:18:25.487] [warning] Couldn't find file 'ulna_lv.vtp'.
[2020-08-22 16:18:25.487] [warning] Couldn't find file 'radius_lv.vtp'.
[2020-08-22 16:18:25.487] [warning] Couldn't find file 'pisiform_lvs.vtp'.
[2020-08-22 16:18:25.487] [warning] Couldn't find file 'lunate_lvs.vtp'.
[2020-08-22 16:18:25.487] [warning] Couldn't find file 'scaphoid_lvs.vtp'.
[2020-08-22 16:18:25.487] [warning] Couldn't find file 'triquetrum_lvs.vtp'.
[2020-08-22 16:18:25.487] [warning] Couldn't find file 'hamate_lvs.vtp'.
[2020-08-22 16:18:25.487] [warning] Couldn't find file 'capitate_lvs.vtp'.
