,,point 0,point 1,point 2,point 3,point 4,point 5
Overground C,-1sd,0,13,63,127,189,250
Overground C,mean,0,15,80,129,190,251
Overground C,+1sd,0,16,80,131,191,251
Overground F,-1sd,0,13,67,124,184,258
Overground F,mean,0,16,73,125,186,257
Overground F,+1sd,0,18,75,128,188,255
Overground S,-1sd,0,14,60,134,196,249
Overground S,mean,0,14,60,135,197,250
Overground S,+1sd,0,15,64,137,197,250
Overground VF,-1sd,0,13,82,128,177,253
Overground VF,mean,0,13,79,125,177,253
Overground VF,+1sd,0,13,76,122,177,252
Overground VS,-1sd,0,11,57,135,203,249
Overground VS,mean,0,12,69,141,201,247
Overground VS,+1sd,0,12,69,145,205,251
Treadmill C,-1sd,0,18,82,137,197,258
Treadmill C,mean,0,18,82,139,196,257
Treadmill C,+1sd,0,18,85,141,196,255
Treadmill F,-1sd,0,19,79,130,193,257
Treadmill F,mean,0,19,82,133,193,256
Treadmill F,+1sd,0,19,85,136,192,255
Treadmill S,-1sd,0,17,93,146,201,256
Treadmill S,mean,0,17,93,147,200,255
Treadmill S,+1sd,0,17,93,148,200,254
Treadmill VF,-1sd,0,19,83,130,189,258
Treadmill VF,mean,0,19,88,134,189,256
Treadmill VF,+1sd,0,19,91,137,189,254
Treadmill VS,-1sd,0,14,99,156,207,253
Treadmill VS,mean,0,14,96,156,207,253
Treadmill VS,+1sd,0,13,93,157,207,253
