,,point 0,point 1,point 2,point 3,point 4,point 5
Free O,-1sd,0,18,69,137,195,256
Free O,mean,0,18,89,138,194,254
Free O,+1sd,0,18,89,139,194,252
Fast O,-1sd,0,18,83,129,191,254
Fast O,mean,0,19,86,132,191,253
Fast O,+1sd,0,19,86,134,190,252
Slow O,-1sd,0,17,94,145,202,252
Slow O,mean,0,17,94,145,200,251
Slow O,+1sd,0,16,91,146,199,249
Slow T,-1sd,0,17,93,149,203,256
Slow T,mean,0,17,93,150,202,255
Slow T,+1sd,0,16,93,151,201,253
Free T,-1sd,0,18,82,137,197,258
Free T,mean,0,18,82,139,196,257
Free T,+1sd,0,18,85,141,196,255
Fast T,-1sd,0,18,80,126,191,257
Fast T,mean,0,18,83,129,191,256
Fast T,+1sd,0,19,87,134,191,255
