,,point 0,point 1,point 2,point 3,point 4,point 5
Adult OC,-1sd,0,18,70,137,195,257
Adult OC,mean,0,18,88,137,194,254
Adult OC,+1sd,0,18,88,138,193,251
Adult OF,-1sd,0,19,82,128,191,253
Adult OF,mean,0,19,85,131,191,252
Adult OF,+1sd,0,19,72,134,190,251
Adult OS,-1sd,0,18,94,145,204,253
Adult OS,mean,0,18,94,145,202,251
Adult OS,+1sd,0,17,91,146,199,249
Adult T01,-1sd,0,12,100,160,212,258
Adult T01,mean,0,13,94,160,211,257
Adult T01,+1sd,0,13,94,160,209,282
Adult T02,-1sd,0,15,97,154,206,253
Adult T02,mean,0,15,97,154,205,251
Adult T02,+1sd,0,16,94,155,203,249
Adult T03,-1sd,0,17,94,149,203,256
Adult T03,mean,0,17,94,151,202,254
Adult T03,+1sd,0,17,94,152,201,253
Adult T04,-1sd,0,18,91,145,200,257
Adult T04,mean,0,18,91,145,199,256
Adult T04,+1sd,0,18,88,146,198,255
Adult T05,-1sd,0,18,82,137,197,258
Adult T05,mean,0,19,82,139,196,257
Adult T05,+1sd,0,19,85,141,196,255
Adult T06,-1sd,0,19,89,135,194,257
Adult T06,mean,0,19,90,137,194,256
Adult T06,+1sd,0,19,90,139,193,255
Adult T07,-1sd,0,18,81,127,191,256
Adult T07,mean,0,18,85,131,191,255
Adult T07,+1sd,0,19,88,134,190,254
Adult T08,-1sd,0,18,83,132,189,257
Adult T08,mean,0,19,86,135,189,255
Adult T08,+1sd,0,20,83,132,189,254
Elderly OC,-1sd,0,17,78,137,195,256
Elderly OC,mean,0,18,80,138,196,254
Elderly OC,+1sd,0,18,78,137,195,253
Elderly OF,-1sd,0,18,81,131,190,256
Elderly OF,mean,0,19,81,134,191,254
Elderly OF,+1sd,0,20,89,136,191,253
Elderly OS,-1sd,0,16,93,144,197,251
Elderly OS,mean,0,16,93,145,198,251
Elderly OS,+1sd,0,16,90,147,198,250
Elderly T01,-1sd,0,11,97,158,207,253
Elderly T01,mean,0,11,94,158,210,256
Elderly T01,+1sd,0,11,91,160,206,252
Elderly T02,-1sd,0,14,96,153,204,253
Elderly T02,mean,0,14,93,154,204,252
Elderly T02,+1sd,0,13,87,154,204,251
Elderly T03,-1sd,0,16,93,148,201,256
Elderly T03,mean,0,16,93,149,201,255
Elderly T03,+1sd,0,15,90,150,200,254
Elderly T04,-1sd,0,17,82,140,198,257
Elderly T04,mean,0,17,82,140,198,256
Elderly T04,+1sd,0,17,82,140,198,256
Elderly T05,-1sd,0,18,79,137,196,259
Elderly T05,mean,0,18,79,139,197,257
Elderly T05,+1sd,0,18,79,138,196,255
Elderly T06,-1sd,0,19,83,129,193,258
Elderly T06,mean,0,18,86,132,193,257
Elderly T06,+1sd,0,18,90,136,194,256
Elderly T07,-1sd,0,18,78,124,190,258
Elderly T07,mean,0,18,81,127,191,257
Elderly T07,+1sd,0,18,85,133,191,256
Elderly T08,-1sd,0,19,82,128,188,259
Elderly T08,mean,0,19,75,121,188,256
Elderly T08,+1sd,0,19,91,137,189,254
