,,point 0,point 1,point 2,point 3,point 4,point 5
$0.151 < v* < 0.265$ A,-1sd,0,14,97,157,208,254
$0.151 < v* < 0.265$ A,mean,0,14,97,157,207,253
$0.151 < v* < 0.265$ A,+1sd,0,14,94,157,206,252
$0.263 < v* < 0.407$ A,-1sd,0,18,93,147,202,256
$0.263 < v* < 0.407$ A,mean,0,18,93,148,201,255
$0.263 < v* < 0.407$ A,+1sd,0,17,93,149,200,254
$0.378 < v* < 0.478$ A,-1sd,0,18,82,137,197,258
$0.378 < v* < 0.478$ A,mean,0,19,82,139,196,257
$0.378 < v* < 0.478$ A,+1sd,0,19,85,141,196,255
$0.434 < v* < 0.623$ A,-1sd,0,18,86,132,193,257
$0.434 < v* < 0.623$ A,mean,0,19,87,134,192,256
$0.434 < v* < 0.623$ A,+1sd,0,19,90,137,192,254
$0.544 < v* < 0.0.689$ A,-1sd,0,18,83,132,189,257
$0.544 < v* < 0.0.689$ A,mean,0,19,86,135,189,255
$0.544 < v* < 0.0.689$ A,+1sd,0,20,83,132,189,254
$0.151 < v* < 0.265$ E,-1sd,0,12,90,149,207,282
$0.151 < v* < 0.265$ E,mean,0,12,90,149,207,282
$0.151 < v* < 0.265$ E,+1sd,0,12,90,149,207,282
$0.263 < v* < 0.407$ E,-1sd,0,16,90,145,200,257
$0.263 < v* < 0.407$ E,mean,0,16,90,146,201,256
$0.263 < v* < 0.407$ E,+1sd,0,16,87,144,199,254
$0.378 < v* < 0.478$ E,-1sd,0,18,79,137,196,259
$0.378 < v* < 0.478$ E,mean,0,18,79,139,197,257
$0.378 < v* < 0.478$ E,+1sd,0,18,79,138,196,255
$0.434 < v* < 0.623$ E,-1sd,0,19,80,126,192,258
$0.434 < v* < 0.623$ E,mean,0,18,83,129,192,257
$0.434 < v* < 0.623$ E,+1sd,0,18,89,135,193,256
$0.544 < v* < 0.0.689$ E,-1sd,0,19,82,128,188,259
$0.544 < v* < 0.0.689$ E,mean,0,19,75,121,188,256
$0.544 < v* < 0.0.689$ E,+1sd,0,19,91,137,189,254
