,,point 0,point 1,point 2,point 3,point 4,point 5
Females C,-1sd,0,13,59,127,188,248
Females C,mean,0,14,81,129,189,249
Females C,+1sd,0,16,84,130,189,250
Females F,-1sd,0,14,69,123,186,263
Females F,mean,0,17,76,125,188,261
Females F,+1sd,0,19,80,126,189,258
Females S,-1sd,0,12,58,131,197,247
Females S,mean,0,13,59,134,197,248
Females S,+1sd,0,15,85,136,197,249
Females VF,-1sd,0,13,82,128,177,253
Females VF,mean,0,13,79,125,177,253
Females VF,+1sd,0,13,76,122,177,252
Females VS,-1sd,0,11,57,135,200,281
Females VS,mean,0,11,69,139,201,247
Females VS,+1sd,0,12,69,142,203,249
Males C,-1sd,0,14,68,127,191,253
Males C,mean,0,15,68,129,191,253
Males C,+1sd,0,16,71,132,192,253
Males F,-1sd,0,14,78,124,183,255
Males F,mean,0,15,80,126,185,254
Males F,+1sd,0,17,81,129,187,253
Males S,-1sd,0,14,61,134,196,251
Males S,mean,0,15,61,136,196,251
Males S,+1sd,0,15,82,138,197,250
Males VF,-1sd,0,27,98,144,233,283
Males VF,mean,0,19,71,133,191,275
Males VF,+1sd,0,27,98,144,233,283
Males VS,-1sd,0,12,60,133,204,253
Males VS,mean,0,12,60,147,206,252
Males VS,+1sd,0,13,86,152,209,256
