,,point 0,point 1,point 2,point 3,point 4,point 5
0.4 m/s,-1sd,0,73,231,603,751,874
0.4 m/s,mean,0,72,231,602,753,878
0.4 m/s,+1sd,0,72,234,601,754,882
0.5 m/s,-1sd,0,85,213,603,757,943
0.5 m/s,mean,0,86,213,606,755,881
0.5 m/s,+1sd,0,86,212,609,753,880
0.6 m/s,-1sd,0,99,354,603,778,929
0.6 m/s,mean,0,99,272,456,607,775
0.6 m/s,+1sd,0,98,272,463,614,909
0.7 m/s,-1sd,0,110,271,573,757,897
0.7 m/s,mean,0,109,268,576,757,896
0.7 m/s,+1sd,0,108,268,580,756,894
0.8 m/s,-1sd,0,106,262,548,732,899
0.8 m/s,mean,0,108,260,549,735,897
0.8 m/s,+1sd,0,109,260,552,736,891
